date,temperature,humidity,rainfall,pressure
2024-01-01,28.8,81.0,1.964,1009.3
2024-01-02,29.1,81.7,0.0,1008.5
2024-01-03,27.6,88.0,11.533,1009.0
2024-01-04,27.2,87.8,28.604,1010.0
2024-01-05,27.6,84.8,3.802,1010.1
2024-01-06,27.6,85.4,0.617,1009.6
2024-01-07,27.2,87.5,0.002,1009.9
2024-01-08,27.7,82.0,0.0,1010.3
2024-01-09,28.4,79.2,0.0,1008.9
2024-01-10,28.4,81.6,0.165,1008.5
2024-01-11,27.5,87.2,40.895,1009.0
2024-01-12,27.6,83.5,0.108,1008.5
2024-01-13,27.8,82.3,2.615,1008.7
2024-01-14,28.5,80.4,0.002,1008.7
2024-01-15,29.0,79.2,0.0,1008.5
2024-01-16,29.5,73.8,0.0,1008.1
2024-01-17,27.5,87.2,2.331,1008.3
2024-01-18,27.9,81.0,0.567,1008.4
2024-01-19,25.5,91.0,15.628,1009.8
2024-01-20,29.1,71.5,0.032,1009.3
2024-01-21,28.0,81.6,6.882,1010.1
2024-01-22,29.4,72.5,0.001,1010.3
2024-01-23,29.3,74.6,0.002,1010.8
2024-01-24,29.2,72.3,0.0,1010.9
2024-01-25,29.7,74.0,0.0,1011.8
2024-01-26,29.0,78.8,0.004,1012.8
2024-01-27,26.1,91.8,19.479,1012.7
2024-01-28,27.0,88.5,15.546,1012.6
2024-01-29,26.7,89.9,17.109,1012.3
2024-01-30,27.2,88.4,34.859,1012.2
2024-01-31,27.4,85.8,84.477,1012.8
2024-02-01,27.6,85.4,0.569,1012.4
2024-02-02,28.1,84.1,39.754,1011.3
2024-02-03,27.5,85.1,0.0,1011.8
2024-02-04,27.7,83.1,14.551,1012.4
2024-02-05,27.6,86.1,0.614,1012.6
2024-02-06,26.5,88.9,9.961,1012.4
2024-02-07,27.9,80.2,0.0,1011.4
2024-02-08,28.6,78.5,0.0,1010.5
2024-02-09,28.7,80.6,0.0,1010.7
2024-02-10,28.2,84.0,1.491,1012.5
2024-02-11,28.5,80.8,0.0,1012.6
2024-02-12,28.8,81.3,6.092,1012.2
2024-02-13,28.6,81.5,4.369,1011.4
2024-02-14,27.6,88.4,143.411,1010.8
2024-02-15,28.5,85.9,9.853,1010.8
2024-02-16,27.9,87.6,0.0,1010.6
2024-02-17,28.0,86.0,17.719,1010.5
2024-02-18,28.3,82.8,0.008,1010.7
2024-02-19,29.0,80.3,0.071,1010.9
2024-02-20,29.4,80.0,0.0,1010.3
2024-02-21,29.1,81.0,0.198,1010.2
2024-02-22,29.6,77.7,2.895,1010.5
2024-02-23,29.7,74.3,0.0,1010.1
2024-02-24,28.9,80.6,0.2,1010.0
2024-02-25,28.0,83.0,8.18,1010.2
2024-02-26,28.2,81.5,18.759,1010.1
2024-02-27,29.1,77.2,0.0,1008.8
2024-02-28,27.3,88.2,42.975,1008.7
2024-02-29,26.3,92.6,104.661,1009.1
2024-03-01,28.4,81.1,0.005,1009.3
2024-03-02,27.7,87.3,16.627,1009.3
2024-03-03,27.4,86.6,6.755,1009.9
2024-03-04,28.1,81.5,0.993,1009.3
2024-03-05,29.3,75.9,0.0,1008.4
2024-03-06,28.8,80.6,2.896,1008.0
2024-03-07,29.1,78.3,0.027,1007.4
2024-03-08,28.4,81.0,0.0,1007.9
2024-03-09,25.7,92.0,50.584,1009.6
2024-03-10,27.1,89.7,0.113,1009.9
2024-03-11,27.5,88.0,25.281,1010.4
2024-03-12,28.4,79.1,0.014,1010.3
2024-03-13,27.8,84.1,21.141,1010.0
2024-03-14,27.3,86.7,11.191,1010.0
2024-03-15,26.7,85.9,28.836,1010.7
2024-03-16,25.9,89.3,20.108,1011.2
2024-03-17,26.7,86.7,26.675,1010.0
2024-03-18,28.3,78.3,0.343,1009.5
