name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Jakarta,2023-01-01,29.4,24,25.8,33.6,24,27,24.1,91,49.485,100,20.83,rain,0,0,41.8,16.6,266.1,1011.1,69.7,6,189.2,16.4,6,10,2023-01-01T05:41:51,2023-01-01T18:10:13,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-01-02,30,24,27,35.4,24,29.4,24.1,84.7,0.523,100,20.83,rain,0,0,39.6,15.7,284.2,1011.1,59.1,6.3,219.6,19,8,10,2023-01-02T05:42:22,2023-01-02T18:10:38,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-01-03,28.3,24.3,26.2,32.1,24.3,27.4,23.7,86.7,0.012,100,8.33,rain,0,0,45,26.1,253.3,1011,53.8,6.5,157.8,13.7,7,10,2023-01-03T05:42:52,2023-01-03T18:11:03,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-01-04,30,24,26.3,36.2,24,27.8,23.9,86.9,8.876,100,20.83,rain,0,0,40,20.5,281.5,1010.2,62.4,5.7,145.9,12.5,6,10,2023-01-04T05:43:23,2023-01-04T18:11:27,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-01-05,32,24,27.3,40.7,24,29.7,23.7,81.9,29.972,100,25,rain,0,0,31.7,22.3,270.7,1010.5,52.8,6.7,218.4,18.8,8,10,2023-01-05T05:43:53,2023-01-05T18:11:51,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-01-06,33.1,26,28.9,38.4,26,31.3,22.8,70.9,0.054,100,4.17,rain,0,0,35.3,29.5,256.2,1010.2,47.1,6.9,215.3,18.5,8,10,2023-01-06T05:44:24,2023-01-06T18:12:14,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-01-07,33.3,25,28.9,40.6,25,32.4,23.7,74.8,0.001,100,4.17,rain,0,0,40.7,31.7,269.5,1008.9,44.7,8,237.5,20.3,9,10,2023-01-07T05:44:54,2023-01-07T18:12:36,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-01-08,31,25,27.5,37.7,25,30.4,24,82,0.186,100,12.5,rain,0,0,46.4,29.1,264.8,1010.2,52.5,6.8,230.5,19.9,9,10,2023-01-08T05:45:24,2023-01-08T18:12:58,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96737099999,96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-01-09,32.4,25,28.5,37.8,25,31.8,23.6,75.5,0,0,0,,0,0,28.8,21.1,271.3,1010.8,53.3,7.3,229.7,19.7,7,30,2023-01-09T05:45:53,2023-01-09T18:13:18,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-01-10,33.8,25,29.1,38.8,25,32.4,23.2,71.4,0,0,0,,0,0,31.7,24.1,271.2,1010.5,46.9,7.1,182.8,15.8,7,30,2023-01-10T05:46:22,2023-01-10T18:13:39,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
